"Utility.Name","State"
"City of Kennett","Missouri"
"KEM Electric Coop Inc","North Dakota"
"Kiamichi Electric Coop, Inc","Oklahoma"
"Kenyon Municipal Utilities","Minnesota"
"Ketchikan Public Utilities","Alaska"
"City of Key West","Florida"
"City of Kimball","Nebraska"
"City of Kingman","Kansas"
"City of Kings Mountain","North Carolina"
"City of Kinston","North Carolina"
"City of Kirkwood","Missouri"
"Kiwash Electric Coop, Inc","Oklahoma"
"Kissimmee Utility Authority","Florida"
"Kit Carson Electric Coop, Inc","New Mexico"
"PUD No 1 of Klickitat County","Washington"
"Knoxville Utilities Board","Tennessee"
"Kodiak Electric Assn Inc","Alaska"
"Kosciusko County Rural E M C","Indiana"
"Kotzebue Electric Assn Inc","Alaska"
"Kootenai Electric Cooperative","Idaho"
"Kootenai Electric Cooperative","Washington"
"Village of L'Anse","Michigan"
"La Plata Electric Assn, Inc","Colorado"
"McCook Public Power District","Nebraska"
"LaCreek Electric Assn, Inc","Nebraska"
"LaCreek Electric Assn, Inc","South Dakota"
"Lagrange County Rural E M C","Indiana"
"City of LaFollette","Tennessee"
"City of La Grange","Georgia"
"City of Lake City","Minnesota"
"City of Lake Crystal","Minnesota"
"Lake Region Electric Coop, Inc","Oklahoma"
"Laclede Electric Coop, Inc","Missouri"
"Lake Mills Light & Water","Wisconsin"
"City of Lake Mills","Iowa"
"Lake Placid Village, Inc","New York"
"Lake Region Electric Cooperative","Minnesota"
"City of Lake Worth","Florida"
"City of Lakeland","Florida"
"Southern Rivers Energy","Georgia"
"Lamb County Electric Coop, Inc","Texas"
"Lakeview Light & Power","Washington"
"City of Lakota","North Dakota"
"Lake Region Electric Assn, Inc","South Dakota"
"Lamar County Elec Coop Assn","Texas"
"City of Lamoni","Iowa"
"City of Lampasas","Texas"
"Licking Rural Electric Inc","Ohio"
"Lane Electric Coop Inc","Oregon"
"Lake Country Power","Minnesota"
"Borough of Lansdale","Pennsylvania"
"City of Lansing","Michigan"
"City of Larned","Kansas"
"Lassen Municipal Utility District","California"
"Lane-Scott Electric Coop, Inc","Kansas"
"Laurens Electric Coop, Inc","South Carolina"
"City of Laurens","Iowa"
"City of Laurinburg","North Carolina"
"Lawrenceburg Municipal Utils","Indiana"
"City of Lawrenceburg","Tennessee"
"City of Lawrenceville","Georgia"
"Leavenworth-Jefferson E C, Inc","Kansas"
"City of Le Sueur","Minnesota"
"Lea County Electric Coop, Inc","New Mexico"
"Lea County Electric Coop, Inc","Texas"
"City of Lebanon","Ohio"
"City of Lebanon","Missouri"
"Lee County Electric Coop, Inc","Florida"
"City of Leesburg","Florida"
"Lehi City Corporation","Utah"
"City of Lenoir","Tennessee"
"City of Lenox","Iowa"
"PUD No 1 of Lewis County","Washington"
"City of Lewisburg","Tennessee"
"Lewis County Rural E C A","Missouri"
"City of Lexington","North Carolina"
"City of Lexington","Nebraska"
"City of Lexington","Tennessee"
"City of Liberty","Texas"
"Licking Valley Rural E C C","Kentucky"
"Lighthouse Electric Coop, Inc","Texas"
"Lincoln Electric System","Nebraska"
"Little River Electric Coop Inc","South Carolina"
"Lincoln Electric Coop, Inc","Montana"
"Linn County REC","Iowa"
"Litchfield Public Utilities","Minnesota"
"Town of Littleton","Massachusetts"
"City of Lockhart","Texas"
"City of Lodi","California"
"City of Lodi","Wisconsin"
"City of Logan","Utah"
"City of Logansport","Indiana"
"City of Lompoc","California"
"Long Island Power Authority","New York"
"City of Longmont","Colorado"
"Lorain-Medina R E C, Inc","Ohio"
"Logan County Coop Power & Light","Ohio"
"Los Alamos County","New Mexico"
"Los Angeles Department of Water & Power","California"
"Loudon Utilities Board","Tennessee"
"Louisville Electric System","Mississippi"
"Loup Valleys Rural P P D","Nebraska"
"Loup River Public Power Dist","Nebraska"
"City of Loveland","Colorado"
"Lower Yellowstone R E A, Inc","Montana"
"Lower Yellowstone R E A, Inc","North Dakota"
"Lower Valley Energy Inc","Idaho"
"Lower Valley Energy Inc","Wyoming"
"Lumbee River Elec Member Corp","North Carolina"
"City of Lubbock","Texas"
"Lyon Rural Electric Coop","Iowa"
"Village of Ludlow","Vermont"
"City of Lumberton","North Carolina"
"City of Luverne","Minnesota"
"Lyon-Coffey Electric Coop, Inc","Kansas"
"Lyon-Lincoln Electric Coop Inc","Minnesota"
"Lynches River Elec Coop, Inc","South Carolina"
"Village of Lyndonville","Vermont"
"Lyntegar Electric Coop, Inc","Texas"
"City of Macon","Mississippi"
"City of Macon","Missouri"
"Macon Electric Coop","Missouri"
"City of Madison","South Dakota"
"Borough of Madison","New Jersey"
"Town of Madison","Maine"
"City of Madison","Nebraska"
"Madisonville Municipal Utils","Kentucky"
"Magic Valley Electric Coop Inc","Texas"
"Magnolia Electric Power Assn","Mississippi"
"City of Manassas","Virginia"
"City of Mangum","Oklahoma"
"Town of Manilla","Iowa"
"Manitowoc Public Utilities","Wisconsin"
"City of Manning","Iowa"
"Town of Mansfield","Massachusetts"
"Harney Electric Coop, Inc","Nevada"
"Harney Electric Coop, Inc","Oregon"
"City of Maquoketa","Iowa"
"City of Marblehead","Massachusetts"
"Marias River Electric Coop Inc","Montana"
"City of Marietta","Georgia"
"Marlboro Electric Coop, Inc","South Carolina"
"City of Marquette","Michigan"
"City of Marshall","Michigan"
"Marshall-De Kalb Electric Coop","Alabama"
"City of Marshall","Minnesota"
"City of Marshall","Missouri"
"City of Marshfield","Wisconsin"
"Marshall County Rural E M C","Indiana"
"City of Martinsville","Virginia"
"Consumers Energy","Iowa"
"Maryville Utilities","Tennessee"
"Town of Massena","New York"
"Matanuska Electric Assn Inc","Alaska"
"City of Mayfield Plant Board","Kentucky"
"McLeod Cooperative Power Assn","Minnesota"
"McCone Electric Coop Inc","Montana"
"McKenzie Electric Coop Inc","Montana"
"McKenzie Electric Coop Inc","North Dakota"
"McLean Electric Coop, Inc","North Dakota"
"McMinnville Electric System","Tennessee"
"City of McMinnville","Oregon"
"City of McPherson","Kansas"
"Meeker Coop Light & Power Assn","Minnesota"
"Meade County Rural E C C","Kentucky"
"Mecklenburg Electric Cooperative","North Carolina"
"Mecklenburg Electric Cooperative","Virginia"
"City of Medford","Wisconsin"
"Medina Electric Coop, Inc","Texas"
"Melrose Public Utilities","Minnesota"
"City of Memphis","Tennessee"
"City of Menasha","Wisconsin"
"Nodak Electric Coop Inc","North Dakota"
"Merced Irrigation District","California"
"Meriwether Lewis Electric Coop","Tennessee"
"City of Mesa","Arizona"
"Midwest Energy Cooperative","Indiana"
"Midwest Energy Cooperative","Michigan"
"Midwest Energy Cooperative","Ohio"
"Menard Electric Coop","Illinois"
"Miami-Cass County Rural E M C","Indiana"
"City of Miami","Oklahoma"
"Midstate Electric Coop, Inc","Oregon"
"Midland Power Coop","Iowa"
"Mid-South Electric Coop Assn","Texas"
"Mid-Carolina Electric Coop Inc","South Carolina"
"Mid-Yellowstone Elec Coop, Inc","Montana"
"Middle Tennessee E M C","Tennessee"
"Middle Georgia El Member Corp","Georgia"
"Town of Middleborough","Massachusetts"
"Town of Middleton","Massachusetts"
"Town of Middletown","Delaware"
"Midwest Electric, Inc","Ohio"
"Midwest Energy Inc","Kansas"
"City of Milan","Tennessee"
"Midwest Electric Member Corp","Nebraska"
"City of Milford","Delaware"
"City of Milford","Iowa"
"Mille Lacs Energy Cooperative","Minnesota"
"City of Miller","South Dakota"
"City of Milton-Freewater- (OR)","Oregon"
"City of Minden","Louisiana"
"City of Minden","Nebraska"
"Maquoketa Valley Rrl Elec Coop","Iowa"
"Minnesota Valley Electric Coop","Minnesota"
"Village of Minster","Ohio"
"City of Mishawaka","Indiana"
"Mississippi County Electric Co","Arkansas"
"Missoula Electric Coop, Inc","Idaho"
"Missoula Electric Coop, Inc","Montana"
"Missouri Rural Electric Coop","Missouri"
"Mitchell Electric Member Corp","Georgia"
"Modern Electric Water Company","Washington"
"Modesto Irrigation District","California"
"City of Monett","Missouri"
"City of Monmouth","Oregon"
"City of Monroe","Georgia"
"City of Monroe","North Carolina"
"Monroe County Elec Coop, Inc","Illinois"
"City of Montezuma","Iowa"
"Morgan County Rural Elec Assn","Colorado"
"Moon Lake Electric Assn Inc","Colorado"
"Moon Lake Electric Assn Inc","Utah"
"City of Moorhead","Minnesota"
"Moose Lake Water & Light Comm","Minnesota"
"Mor-Gran-Sou Electric Coop Inc","North Dakota"
"City of Mora","Minnesota"
"Mora-San Miguel Elec Coop","New Mexico"
"Moreau-Grand Electric Coop Inc","South Dakota"
"Morgan City","Louisiana"
"South Central Indiana REMC","Indiana"
"City of Morganton","North Carolina"
"City of Morristown","Tennessee"
"Village of Morrisville","Vermont"
"Consolidated Electric Coop Inc","Ohio"
"City of Moultrie","Georgia"
"Mountain Electric Coop, Inc","North Carolina"
"Mountain Electric Coop, Inc","Tennessee"
"City of Moundridge","Kansas"
"Village of Mt. Horeb","Wisconsin"
"City of Mt Pleasant","Iowa"
"City of Mt Pleasant","Tennessee"
"City of Mount Vernon","Missouri"
"Mountain Parks Electric, Inc","Colorado"
"Mountain View Elec Assn, Inc","Colorado"
"Mt Wheeler Power, Inc","Nevada"
"Mt Wheeler Power, Inc","Utah"
"City of Mulvane","Kansas"
"City of Murfreesboro","Tennessee"
"City of Murray","Utah"
"City of Murray","Kentucky"
"Board of Water Electric & Communications","Iowa"
"City of Muscle Shoals","Alabama"
"Village of Muscoda","Wisconsin"
"Northern Plains Electric Coop","North Dakota"
"City of Naperville","Illinois"
"City of Napoleon","Ohio"
"Nashville Electric Service","Tennessee"
"Natchez Trace Elec Power Assn","Mississippi"
"City of Natchitoches","Louisiana"
"City of Neligh","Nebraska"
"Norris Electric Coop","Illinois"
"Navajo Tribal Utility Authority","Arizona"
"Navajo Tribal Utility Authority","New Mexico"
"Navajo Tribal Utility Authority","Utah"
"Navopache Electric Coop, Inc","Arizona"
"Navopache Electric Coop, Inc","New Mexico"
"Navarro County Elec Coop, Inc","Texas"
"City of Nebraska City","Nebraska"
"Nebraska Public Power District","Nebraska"
"Nebraska Public Power District","South Dakota"
"City of Negaunee","Michigan"
"City of Neodesha","Kansas"
"Nemaha-Marshall E C A, Inc","Kansas"
"City of New Albany","Mississippi"
"City of New Bern","North Carolina"
"City of New Braunfels","Texas"
"New Castle Municipal Serv Comm","Delaware"
"City of Newbern","Tennessee"
"Village of New Glarus","Wisconsin"
"New Hampshire Elec Coop Inc","New Hampshire"
"City of New Hampton","Iowa"
"City of New Holstein","Wisconsin"
"New London Electric&Water Util","Wisconsin"
"New Prague Utilities Comm","Minnesota"
"City of New Richmond","Wisconsin"
"New River Light & Power Co","North Carolina"
"New Smyrna Beach City of","Florida"
"New Ulm Public Utilities Comm","Minnesota"
"City of Newark","Delaware"
"New-Mac Electric Coop, Inc","Missouri"
"City of Newberry","South Carolina"
"Newberry Electric Coop, Inc","South Carolina"
"Newnan Wtr, Sewer & Light Comm","Georgia"
"City of Newport","Tennessee"
"City of Newton","North Carolina"
"Ninnescah Rural E C A Inc","Kansas"
"City of Nicholasville","Kentucky"
"City of Niles","Ohio"
"City of Niles","Michigan"
"Niobrara Valley El Member Corp","Nebraska"
"Northern Virginia Elec Coop","Virginia"
"Nome Joint Utility Systems","Alaska"
"City of Norcross- (GA)","Georgia"
"Noble County R E M C","Indiana"
"Nolin Rural Electric Coop Corp","Kentucky"
"Norris Public Power District","Nebraska"
"North Alabama Electric Coop","Alabama"
"Nishnabotna Valley R E C","Iowa"
"North Arkansas Elec Coop, Inc","Arkansas"
"Town of North Attleborough","Massachusetts"
"Nobles Cooperative Electric","Iowa"
"Nobles Cooperative Electric","Minnesota"
"North Central MO Elec Coop Inc","Missouri"
"North Central Elec Coop, Inc","Ohio"
"North Central Elec Coop, Inc","North Dakota"
"North Central Public Pwr Dist","Nebraska"
"North Itasca Electric Coop Inc","Minnesota"
"North Western Elec Coop, Inc","Ohio"
"North Georgia Elec Member Corp","Georgia"
"City of North Little Rock","Arkansas"
"City of North Platte","Nebraska"
"City of North St Paul","Minnesota"
"North Star Electric Coop, Inc","Minnesota"
"Northeast Oklahoma Electric Co","Oklahoma"
"Northcentral Mississippi E P A","Mississippi"
"Northeast Nebraska P P D","Nebraska"
"Northern Electric Coop, Inc","South Dakota"
"North Plains Electric Coop Inc","Texas"
"Northern Lights, Inc","Idaho"
"Northern Lights, Inc","Montana"
"Northern Lights, Inc","Washington"
"Northern Neck Elec Coop, Inc","Virginia"
"Northeast Louisiana Power Coop Inc.","Louisiana"
"Northern Wasco County PUD","Oregon"
"Village of Northfield","Vermont"
"Prairie Land Electric Coop Inc","Kansas"
"Northwest Rural Pub Pwr Dist","Nebraska"
"Northwestern Electric Coop Inc","Oklahoma"
"Norwalk Third Taxing District","Connecticut"
"City of Norway","Michigan"
"Nueces Electric Cooperative","Texas"
"City of Norwich","Connecticut"
"Northfork Electric Coop, Inc","Oklahoma"
"City of Norwood","Massachusetts"
"Oahe Electric Coop Inc","South Dakota"
"City of Oak Ridge","Tennessee"
"Ocmulgee Electric Member Corp","Georgia"
"Oakdale Electric Coop","Wisconsin"
"City of Oberlin","Ohio"
"City of Ocala","Florida"
"Oconee Electric Member Corp","Georgia"
"Oconomowoc Utilities","Wisconsin"
"Oconto Electric Cooperative","Wisconsin"
"Oconto Falls Water & Light Comm","Wisconsin"
"Ohop Mutual Light Company, Inc","Washington"
"PUD No 1 of Okanogan County","Washington"
"Oklahoma Electric Coop Inc","Oklahoma"
"Okanogan County Elec Coop, Inc","Washington"
"City of Okolona","Mississippi"
"City of Olivia","Minnesota"
"Oregon Trail El Cons Coop, Inc","Oregon"
"Omaha Public Power District","Nebraska"
"City of Onawa","Iowa"
"City of Opelika","Alabama"
"City of Orange City","Iowa"
"Orange County Rural E M C","Indiana"
"City of Orangeburg","South Carolina"
"Orcas Power & Light Coop","Washington"
"City of Ord","Nebraska"
"Tri-County Electric Coop, Inc","South Carolina"
"P K M Electric Coop, Inc","Minnesota"
"Osage Valley Elec Coop Assn","Missouri"
"City of Orrville","Ohio"
"City of Osage City","Kansas"
"City of Osage","Iowa"
"Osceola Electric Coop, Inc","Iowa"
"City of Osawatomie","Kansas"
"City of Osceola","Arkansas"
"Otero County Electric Coop Inc","New Mexico"
"City of Ottawa","Kansas"
"Ouachita Electric Coop Corp","Arkansas"
"Overton Power District No 5","Nevada"
"City of Owatonna","Minnesota"
"Owen Electric Coop Inc","Kentucky"
"City of Owensboro","Kentucky"
"City of Oxford","Mississippi"
"Ozark Border Electric Coop","Missouri"
"Ozark Electric Coop Inc","Missouri"
"Ozarks Electric Coop Corp","Arkansas"
"Ozarks Electric Coop Corp","Oklahoma"
"PUD No 2 of Pacific County","Washington"
"City of Paducah","Kentucky"
"Page Utility Enterprises","Arizona"
"City of Painesville","Ohio"
"Palmetto Electric Coop Inc","South Carolina"
"City of Palo Alto","California"
"Panola-Harrison Elec Coop, Inc","Louisiana"
"Panola-Harrison Elec Coop, Inc","Texas"
"Panhandle Rural El Member Assn","Nebraska"
"Paragould Light & Water Comm","Arkansas"
"City of Paris","Tennessee"
"People's Cooperative Services","Minnesota"
"Parke County Rural E M C","Indiana"
"Park Electric Coop Inc","Montana"
"Parkland Light & Water Company","Washington"
"City of Pasadena","California"
"Pascoag Utility District","Rhode Island"
"Pee Dee Electric Coop, Inc","South Carolina"
"Pearl River Valley El Pwr Assn","Mississippi"
"City of Pawhuska","Oklahoma"
"Paulding-Putman Elec Coop, Inc","Indiana"
"Paulding-Putman Elec Coop, Inc","Ohio"
"Payson City Corporation","Utah"
"Pea River Electric Coop","Alabama"
"City of Peabody","Massachusetts"
"Peace River Electric Coop, Inc","Florida"
"Orlando Utilities Comm","Florida"
"PUD No 2 of Grant County","Washington"
"Pedernales Electric Coop, Inc","Texas"
"City of Pella","Iowa"
"Planters Electric Member Corp","Georgia"
"PUD No 1 of Pend Oreille County","Washington"
"Peninsula Light Company","Washington"
"Pemiscot-Dunklin Elec Coop Inc","Missouri"
"Pee Dee Electric Member Corp","North Carolina"
"Pennyrile Rural Electric Coop","Kentucky"
"People's Electric Cooperative","Oklahoma"
"City of Peru","Indiana"
"City of Peru","Illinois"
"Petersburg Borough","Alaska"
"Pitt & Greene Elec Member Corp","North Carolina"
"Petit Jean Electric Coop Corp","Arkansas"
"City of Petoskey","Michigan"
"City of Philadelphia","Mississippi"
"Pickwick Electric Coop","Tennessee"
"Piedmont Electric Member Corp","North Carolina"
"Pierce-Pepin Coop Services","Wisconsin"
"City of Pierce","Nebraska"
"City of Pierre","South Dakota"
"Electrical Dist No2 Pinal County","Arizona"
"Electrical Dist No4 Pinal County","Arizona"
"Pioneer Rural Elec Coop, Inc","Ohio"
"Town of Pineville","North Carolina"
"Pioneer Electric Coop, Inc","Kansas"
"City of Piqua","Ohio"
"Platte-Clay Electric Coop, Inc","Missouri"
"Plateau Electric Cooperative","Tennessee"
"City of Plattsburgh","New York"
"City of Plymouth","Wisconsin"
"Pointe Coupee Elec Member Corp","Louisiana"
"Polk County Rural Pub Pwr Dist","Nebraska"
"City of Ponca City","Oklahoma"
"Pontotoc Electric Power Assn","Mississippi"
"City of Poplar Bluff","Missouri"
"City of Port Angeles","Washington"
"Poudre Valley R  E  A, Inc","Colorado"
"Prairie Energy Coop","Iowa"
"Powell Valley Electric Coop","Tennessee"
"Powell Valley Electric Coop","Virginia"
"Plumas-Sierra Rural Elec Coop","California"
"Plumas-Sierra Rural Elec Coop","Nevada"
"Prague Public Works Authority","Oklahoma"
"Village of Prairie Du Sac","Wisconsin"
"City of Pratt- (KS)","Kansas"
"Prentiss County Elec Pwr Assn","Mississippi"
"Presque Isle Elec & Gas Coop","Michigan"
"Polk-Burnett Electric Coop","Wisconsin"
"City of Preston","Iowa"
"Price Electric Coop Inc","Wisconsin"
"City of Princeton","Kentucky"
"Princeton Public Utils Comm","Minnesota"
"City of Princeton","Illinois"
"Prince George Electric Coop","Virginia"
"PUD No 3 of Mason County","Washington"
"Provo City Corp","Utah"
"City of Pryor","Oklahoma"
"City of Pulaski","Tennessee"
"Borough of Quakertown","Pennsylvania"
"City of Quincy","Florida"
"City of Radford","Virginia"
"Radiant Electric Coop, Inc","Kansas"
"Randolph Electric Member Corp","North Carolina"
"Ralls County Electric Coop","Missouri"
"Village of Rantoul","Illinois"
"Rayle Electric Membership Corp","Georgia"
"Red River Valley Rrl Elec Assn","Oklahoma"
"Town of Reading","Massachusetts"
"Redwood Electric Coop","Minnesota"
"Reedy Creek Improvement Dist","Florida"
"City of Redding","California"
"Redwood Falls Public Util Comm","Minnesota"
"Reedsburg Utility Comm","Wisconsin"
"Rich Mountain Elec Coop, Inc","Arkansas"
"Rich Mountain Elec Coop, Inc","Oklahoma"
"Renville-Sibley Coop Pwr Assn","Minnesota"
"City of Remsen","Iowa"
"Reliant Energy Retail Services","Texas"
"City of Rensselaer","Indiana"
"Rice Lake Utilities","Wisconsin"
"City of Richland Center","Wisconsin"
"City of Richland","Washington"
"City of Richmond","Indiana"
"Rio Grande Electric Coop, Inc","New Mexico"
"Rio Grande Electric Coop, Inc","Texas"
"Riverland Energy Cooperative","Wisconsin"
"Rita Blanca Electric Coop, Inc","Texas"
"City of River Falls","Wisconsin"
"City of Riverside","California"
"Roanoke Electric Member Corp","North Carolina"
"Navasota Valley Elec Coop, Inc","Texas"
"Roosevelt Public Power Dist","Nebraska"
"Rochelle Municipal Utilities","Illinois"
"Rochester Public Utilities","Minnesota"
"City of Rock Hill","South Carolina"
"Rock Energy Cooperative","Illinois"
"Rock Energy Cooperative","Wisconsin"
"Rock Rapids Municipal Utility","Iowa"
"Village of Rockville Centre","New York"
"City of Rockwood","Tennessee"
"City of Rocky Mount","North Carolina"
"City of Rolla","Missouri"
"Rolling Hills Electric Coop","Kansas"
"Roseau Electric Coop, Inc","Minnesota"
"Rosebud Electric Coop Inc","South Dakota"
"City of Roseville","California"
"Village of Rouses Point","New York"
"Runestone Electric Assn","Minnesota"
"Rural Electric Coop, Inc","Oklahoma"
"City of Rupert","Idaho"
"Rural Electric Conven Coop","Illinois"
"City of Russell","Kansas"
"City of Russellville","Alabama"
"City of Russellville","Kentucky"
"Rusk County Electric Coop, Inc","Texas"
"City of Ruston","Louisiana"
"Rutherford Elec Member Corp","North Carolina"
"Sac-Osage Electric Coop Inc","Missouri"
"City of Sabetha","Kansas"
"Sacramento Municipal Util Dist","California"
"City of Salamanca","New York"
"Salem Electric","Oregon"
"City of Salem","Virginia"
"City of Sallisaw","Oklahoma"
"Salmon River Electric Coop Inc","Idaho"
"Salt River Project","Arizona"
"Salt River Electric Coop Corp","Kentucky"
"San Luis Valley R E C, Inc","Colorado"
"City of San Antonio","Texas"
"Santee Electric Coop, Inc","South Carolina"
"Access Energy Coop","Iowa"
"City & County of San Francisco","California"
"Sam Houston Electric Coop Inc","Texas"
"San Isabel Electric Assn, Inc","Colorado"
"San Miguel Power Assn, Inc","Colorado"
"San Patricio Electric Coop Inc","Texas"
"City of Sanborn","Iowa"
"Sand Mountain Electric Coop","Alabama"
"San Bernard Electric Coop, Inc","Texas"
"Sangre De Cristo Elec Assn Inc","Colorado"
"City of Santa Clara","California"
"Satilla Rural Elec Member Corporation","Georgia"
"City of Sauk Centre","Minnesota"
"Scenic Rivers Energy Coop","Illinois"
"Scenic Rivers Energy Coop","Wisconsin"
"Three Rivers Electric Coop","Missouri"
"Sheridan Electric Coop, Inc","Montana"
"Sheridan Electric Coop, Inc","North Dakota"
"City of Schuyler","Nebraska"
"SEMO Electric Cooperative","Missouri"
"City of Scottsboro","Alabama"
"City of Scottsburg","Indiana"
"SE-MA-NO Electric Coop","Missouri"
"City of Seaford- (DE)","Delaware"
"Heartland Rural Elec Coop, Inc","Kansas"
"Sawnee Electric Membership Corporation","Georgia"
"City of Seattle","Washington"
"City of Seguin","Texas"
"Sedgwick County El Coop Assn Inc","Kansas"
"City of Seneca","South Carolina"
"City of Seneca","Kansas"
"Sequachee Valley Electric Coop","Tennessee"
"City of Sergeant Bluff","Iowa"
"Sevier County Electric System","Tennessee"
"City of Seward","Nebraska"
"Seward County Rrl Pub Pwr Dist","Nebraska"
"City of Seward","Alaska"
"Shakopee Public Utilities Comm","Minnesota"
"Shawano Municipal Utilities","Wisconsin"
"City of Sheboygan Falls","Wisconsin"
"Sheffield Utilities","Alabama"
"City of Shelby","North Carolina"
"RushShelby Energy","Indiana"
"Shelby Electric Coop, Inc","Illinois"
"City of Shelby","Ohio"
"Shelby Energy Co-op, Inc","Kentucky"
"City of Shelbyville","Tennessee"
"Shenandoah Valley Elec Coop","Virginia"
"Town of Shrewsbury","Massachusetts"
"City of Sibley","Iowa"
"City of Sidney","Nebraska"
"City of Sikeston","Missouri"
"City of Siloam Springs","Arkansas"
"Singing River Elec Pwr Assn","Alabama"
"Singing River Elec Pwr Assn","Mississippi"
"North West Rural Electric Coop","Iowa"
"Slope Electric Coop Inc","North Dakota"
"City of Sioux Center","Iowa"
"City of Sioux Falls","South Dakota"
"Sioux Valley SW Elec Coop","Minnesota"
"Sioux Valley SW Elec Coop","South Dakota"
"City & Borough of Sitka","Alaska"
"PUD No 1 of Skamania Co","Washington"
"Slash Pine Elec Member Corp","Georgia"
"Sleepy Eye Public Utility Comm","Minnesota"
"Slinger Utilities","Wisconsin"
"Town of Smithfield","North Carolina"
"City of Smithville","Tennessee"
"Town of Smyrna","Delaware"
"PUD 1 of Snohomish County","Washington"
"Socorro Electric Coop, Inc","New Mexico"
"Village of Solvay","New York"
"South Alabama Elec Coop, Inc","Alabama"
"South Central Ark El Coop, Inc","Arkansas"
"South Carolina Public Service Authority","South Carolina"
"South Central Public Pwr Dist","Nebraska"
"South Central Electric Assn","Minnesota"
"Town of South Hadley","Massachusetts"
"South Plains Electric Coop Inc","Texas"
"City of South Haven","Michigan"
"South Kentucky Rural E C C","Kentucky"
"South Kentucky Rural E C C","Tennessee"
"South Louisiana Elec Coop Assn","Louisiana"
"City of South Norwalk","Connecticut"
"South River Elec Member Corp","North Carolina"
"City of South Sioux City","Nebraska"
"Southeastern IL Elec Coop, Inc","Illinois"
"Southeast Colorado Power Assn","Colorado"
"Southeastern Indiana R E M C","Indiana"
"Southeastern Electric Coop Inc","Oklahoma"
"Southern Illinois Elec Coop","Illinois"
"Southern Maryland Elec Coop Inc","Maryland"
"Southern Public Power District","Nebraska"
"Southern Iowa Elec Coop, Inc","Iowa"
"Southern Pine Elec Coop, Inc","Alabama"
"Southern Pine Elec Power Assn","Mississippi"
"Southwest Arkansas E C C","Arkansas"
"Southwest Arkansas E C C","Oklahoma"
"Southwest Arkansas E C C","Texas"
"Southwest Rural Elec Assn Inc","Oklahoma"
"Southwest Rural Elec Assn Inc","Texas"
"Southwest Mississippi E P A","Mississippi"
"Southwest Louisiana E M C","Louisiana"
"Southwest Public Power Dist","Nebraska"
"Southwest Texas Elec Coop, Inc","Texas"
"Southwest Tennessee E M C","Tennessee"
"Southwestern Electric Coop Inc","Illinois"
"Southwestern Electric Coop Inc","Colorado"
"Southwestern Electric Coop Inc","New Mexico"
"Southwestern Electric Coop Inc","Oklahoma"
"Southwestern Electric Coop Inc","Texas"
"Spanish Fork City Corporation","Utah"
"City of Sparta","Tennessee"
"City of Spencer","Iowa"
"Springer Electric Coop, Inc","New Mexico"
"City of Springfield","Illinois"
"City of Springfield","Tennessee"
"Snapping Shoals El Member Corp","Georgia"
"City Utilities of Springfield","Missouri"
"City of Springfield","Oregon"
"City of Springville","Utah"
"City of St Charles","Illinois"
"St Croix Electric Coop","Wisconsin"
"City of St George","Utah"
"City of St James","Minnesota"
"City of St Marys","Ohio"
"City of Shasta Lake","California"
"City of St Paul","Nebraska"
"City of Saint Peter","Minnesota"
"Stanton County Public Pwr Dist","Nebraska"
"City of Staples- (MN)","Minnesota"
"City of Starke","Florida"
"City of Starkville","Mississippi"
"Stearns Cooperative Elec Assn","Minnesota"
"City of Statesville","North Carolina"
"Steele-Waseca Cooperative Electric","Minnesota"
"Town of Steilacoom","Washington"
"South Central Power Company","Ohio"
"Town of Sterling","Massachusetts"
"Steuben County Rural E M C","Indiana"
"Steuben Rural Elec Coop, Inc","New York"
"Stillwater Utilities Authority","Oklahoma"
"City of Stilwell","Oklahoma"
"City of Story City","Iowa"
"City of Stoughton","Wisconsin"
"Swisher Electric Coop, Inc","Texas"
"Tallapoosa River Elec Coop Inc","Alabama"
"Strawberry Electric Serv Dist","Utah"
"City of Sturgeon Bay","Wisconsin"
"City of Sturgis","Michigan"
"Surprise Valley Electrification","California"
"Surprise Valley Electrification","Nevada"
"Surprise Valley Electrification","Oregon"
"City of Sullivan","Missouri"
"Sulphur Springs Valley E C Inc","Arizona"
"Sumter Electric Coop, Inc","Florida"
"Sumter Electric Member Corp","Georgia"
"Sun Prairie Utilities","Wisconsin"
"Sumner-Cowley Elec Coop, Inc","Kansas"
"City of Superior","Nebraska"
"Surry-Yadkin Elec Member Corp","North Carolina"
"Suwannee Valley Elec Coop Inc","Florida"
"Village of Swanton","Vermont"
"Taylor Electric Coop","Wisconsin"
"City of Sweetwater","Tennessee"
"Sylacauga Utilities Board","Alabama"
"City of Sylvania","Georgia"
"Sun River Electric Coop, Inc","Montana"
"City of Syracuse","Nebraska"
"City of Tacoma ","Washington"
"Tahlequah Public Works Authority","Oklahoma"
"City of Tallahassee","Florida"
"T I P Rural Electric Coop","Iowa"
"Tallahatchie Valley E P A","Mississippi"
"Tanner Electric Coop","Washington"
"Talquin Electric Coop, Inc","Florida"
"Town of Tarboro","North Carolina"
"City of Tarrant","Alabama"
"City of Taunton","Massachusetts"
"Taylor County Rural E C C","Kentucky"
"Three Notch Elec Member Corp","Georgia"
"City of Tecumseh","Nebraska"
"City of Tell City","Indiana"
"Tennessee Valley Authority","Alabama"
"Tennessee Valley Authority","Kentucky"
"Tennessee Valley Authority","Mississippi"
