"Utility.Name","State"
"Buckeye Rural Elec Coop, Inc","Ohio"
"City of Burbank Water and Power","California"
"City of Burley","Idaho"
"City of Burlington Electric","Vermont"
"City of Burlington","Kansas"
"Burt County Public Power Dist","Nebraska"
"Butler Rural El Coop Assn, Inc","Kansas"
"Butler Public Power District","Nebraska"
"Borough of Butler","New Jersey"
"Butler Rural Electric Coop Inc","Ohio"
"Butler County Rural Elec Coop","Iowa"
"Butte Electric Coop, Inc","South Dakota"
"C & L Electric Coop Corp","Arkansas"
"City of Cairo","Georgia"
"CMS Electric Coop Inc","Kansas"
"City of Calhoun","Georgia"
"Central Electric Power Assn","Mississippi"
"City of Cambridge","Nebraska"
"City of Camden","South Carolina"
"City of Cameron","Missouri"
"Canoochee Electric Member Corp","Georgia"
"City of Camilla","Georgia"
"Canadian Valley Elec Coop, Inc","Oklahoma"
"Canby Utility Board","Oregon"
"Caney Fork Electric Coop, Inc","Tennessee"
"Caney Valley El Coop Assn, Inc","Kansas"
"Canton Municipal Utilities","Mississippi"
"Cape Hatteras Elec Member Corp","North Carolina"
"Capital Electric Coop, Inc","North Dakota"
"Cam Wal Electric Coop, Inc","South Dakota"
"Carbon Power & Light, Inc","Wyoming"
"Carroll County","Tennessee"
"Carroll Electric Coop, Inc","Ohio"
"Carroll Electric Member Corp","Georgia"
"Carroll Electric Coop Corp","Arkansas"
"Carroll Electric Coop Corp","Missouri"
"Carteret-Craven El Member Corp","North Carolina"
"City of Cartersville","Georgia"
"City of Carthage","Missouri"
"Cedar Falls Utilities","Iowa"
"Cedar-Knox Public Power Dist","Nebraska"
"Cedarburg Light & Water Comm","Wisconsin"
"City of Celina","Ohio"
"Central Alabama Electric Coop","Alabama"
"Central Rural Electric Cooperative, Inc","Oklahoma"
"City of Central City","Nebraska"
"Central Electric Coop, Inc","South Dakota"
"Central Electric Coop Inc","Oregon"
"Central Florida Elec Coop, Inc","Florida"
"Central Georgia El Member Corp","Georgia"
"Central Electric Membership Corp.","North Carolina"
"Central Lincoln People's Ut Dt","Oregon"
"Central Missouri Elec Coop Inc","Missouri"
"Central New Mexico El Coop, Inc","New Mexico"
"Central Texas Elec Coop, Inc","Texas"
"Central Valley Elec Coop, Inc","New Mexico"
"Central Virginia Electric Coop","Virginia"
"Central Wisconsin Elec Coop","Wisconsin"
"City of Centralia","Washington"
"Chariton Valley Elec Coop, Inc","Iowa"
"Charles Mix Electric Assn, Inc","South Dakota"
"Borough of Chambersburg","Pennsylvania"
"City of Chanute","Kansas"
"Caddo Electric Coop, Inc","Oklahoma"
"City of Chaska","Minnesota"
"City of Chattanooga","Georgia"
"City of Chattanooga","Tennessee"
"PUD No 1 of Chelan County","Washington"
"City of Cheney","Washington"
"Cherokee Electric Coop","Alabama"
"Cherry-Todd Electric Coop, Inc","Nebraska"
"Cherry-Todd Electric Coop, Inc","South Dakota"
"Cherryland Electric Coop Inc","Michigan"
"Cherokee County Elec Coop Assn","Texas"
"City of Chickamauga","Georgia"
"City of Chicopee","Massachusetts"
"Cimarron Electric Coop","Oklahoma"
"Chillicothe Municipal Utils","Missouri"
"Chimney Rock Public Power Dist","Nebraska"
"Chippewa Valley Electric Coop","Wisconsin"
"Choctawhatche Elec Coop, Inc","Florida"
"Choptank Electric Coop, Inc","Maryland"
"Chugach Electric Assn Inc","Alaska"
"Choctaw Electric Coop Inc","Oklahoma"
"Citizens Electric Corporation","Missouri"
"City of Nixa","Missouri"
"Claiborne Electric Coop, Inc","Louisiana"
"PUD No 1 of Clallam County","Washington"
"City of Claremore","Oklahoma"
"PUD No 1 of Clark County","Washington"
"Clark Energy Coop Inc","Kentucky"
"Clark Electric Coop","Wisconsin"
"Clarksdale Public Utilities","Mississippi"
"City of Clarksville","Tennessee"
"Clarksville Light & Water Co","Arkansas"
"City of Clay Center","Kansas"
"Clay County Electric Coop Corp","Arkansas"
"Clay County Electric Coop Corp","Missouri"
